TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,520,433,433,390,346,433,476,563,520,520,520,606,606,606,649,606,649,779,909,1126,1039,1386,1212,1559,1689,1992,2382,4949,5615,6138,5182,5546,5815,6208,6630,7041,6728,5024,2464,2558,4127,4433,6867,5170,5737,6386,6336,6804,..
Ecuador,..,..,..,..,..,..,..,..,..,..,..,3204,3291,3984,4806,5326,5759,6192,6625,5495,5539,6146,6539,5621,7448,8577,13351,11984,11229,9128,1958,1873,1785,1565,1564,1744,1565,938,848,938,1434,1478,1478,1568,1702,2061,2419,4202,4663,3599,4060,4512,5058,5199,5565,6997,13935,15095,15017,..
Egypt,..,..,..,..,..,..,..,..,..,..,..,2698,2653,2545,2814,2801,2864,2824,2824,3004,3301,3634,3831,4342,4792,5160,5346,4396,4464,4594,4709,4990,5087,5353,5627,5940,6984,11272,11456,11715,12323,12612,13405,13809,43370,86976,90560,98794,103703,112377,113855,115442,115260,56479,59080,59978,61586,61481,60258,..
El Salvador,..,..,..,..,..,..,..,..,..,..,..,201,467,330,467,217,217,40,121,0,0,0,0,362,0,0,47,87,0,0,0,0,0,0,0,0,0,0,0,0,216,227,248,292,295,288,252,270,277,277,281,288,0,0,0,0,0,0,0,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28438,29635,16791,9115,4396,3493,4151,3499,3652,2362,2441,4189,4578,4764,4362,4343,4109,3910,3992,3900,3987,4554,4632,4606,5489,5551,5462,5548,5230,..
Ethiopia,..,..,..,..,..,..,..,..,..,..,..,563,563,610,610,566,566,653,783,829,829,917,878,971,843,891,802,1453,1322,1322,1520,1087,649,779,866,996,1126,1256,1386,1429,1602,1992,2122,2252,2555,2382,2598,2901,2988,3074,3204,3421,3854,4547,5023,5412,6668,7302,7799,..
Finland,13317,14945,16642,18123,19364,19728,20538,21748,23365,25138,22688,21255,21351,21793,21632,22561,23955,25761,26844,26231,24451,24175,25431,24039,32876,34427,34542,35639,37828,38571,38665,33698,35160,35174,31469,31563,30304,29780,30436,27505,30120,30993,31844,30683,30778,29857,30383,31343,30692,30555,32293,29690,31763,31468,30517,29601,30555,29644,28664,..
France,33252,40203,44532,52612,55131,57799,64738,75339,84115,81932,103436,93971,104377,120490,122345,114915,119503,123005,135113,131973,135603,130053,130018,127256,128476,127849,126904,127532,128655,128938,145324,145802,150335,151257,149867,151178,156946,155425,159369,158098,160491,162515,156822,155190,176768,176250,172919,168836,172487,176113,172547,174789,169843,179268,176857,177709,173078,169804,171190,..
Gabon,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,260,304,433,390,347,260,260,303,260,303,303,303,390,390,346,520,606,649,736,693,693,736,148,149,..
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12688,20235,14485,10901,11420,4993,5726,4591,4410,3165,2459,1026,1111,856,1282,5115,5520,5760,5969,3463,3653,6129,6513,525,524,787,1188,1280,1110,..
Germany,36948,40505,44918,48369,51659,53974,58021,60289,63755,66401,87280,84580,85425,87416,86838,86767,85505,83307,82241,84232,126047,128550,127635,128029,134739,137603,132503,129297,128800,129837,101413,112871,110679,83727,85305,82896,85451,85046,85892,11284,12141,11364,11121,7821,8360,8383,9672,14938,14474,16917,53893,55555,55155,52614,63392,60756,62713,59366,150383,..
Ghana,..,..,..,..,..,..,..,..,..,..,..,1353,1454,1429,1256,1342,1386,1516,1516,1299,1386,1775,1602,1083,1212,1559,1645,1689,1689,1732,1689,1602,1948,1992,2338,2641,2901,2988,3854,4417,6006,5867,1269,1262,1385,1422,1503,1542,1756,2057,2055,2317,2663,2750,2751,3054,2847,2687,2960,..
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Greece,939,1008,1074,1194,11089,11674,12924,14796,16688,17886,18861,21844,24318,27338,25894,27357,22858,25092,29081,30637,31357,28845,30595,34670,37822,39541,35549,39326,42376,42680,42958,45928,44197,44658,45065,42053,43957,44426,45297,45198,46417,46475,48444,52195,46398,47951,49094,45880,45613,36542,33429,27935,11909,12268,10717,10797,11334,12193,11033,..
Guatemala,..,..,..,..,..,..,..,..,..,..,..,563,649,866,606,1134,1047,1134,1480,1524,1061,1105,1018,975,1018,1018,1022,1379,1036,1032,1079,1256,1260,1306,1310,1621,1538,1624,1844,2051,2137,232,232,232,239,246,253,0,0,0,0,0,0,0,0,0,0,0,0,..
Haiti,..,..,..,..,..,..,..,..,..,..,..,87,87,87,87,130,130,130,130,173,130,130,130,130,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Honduras,..,..,..,..,..,..,..,..,..,..,..,555,606,729,692,736,772,783,851,953,820,776,776,824,733,949,84,84,84,127,84,84,127,127,127,127,127,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,0,592,3259,..
Hong Kong (China),..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Hungary,..,..,..,..,..,25537,27136,28687,29593,31088,30712,32829,37734,43806,50861,53392,52661,55938,62550,59597,59521,58888,57188,51701,57554,57911,54822,57840,55160,53614,47337,39970,31558,27968,28464,27679,29598,28867,29576,30104,27922,26379,27249,25683,24456,23370,22940,20990,22187,18608,20555,20345,16796,21956,24982,24305,26982,25416,26722,..
Iceland,5770,4573,6046,5658,5430,5448,5771,5456,6245,4649,4600,4447,5043,5262,5993,6382,6374,6891,7354,7308,7576,7803,8113,8981,8517,8141,8945,9721,10172,10695,1279,1361,1360,1370,1332,1383,1391,1408,1400,1410,1439,1445,1334,1307,1348,1317,1360,1383,1383,1362,1361,1368,1398,1441,1741,1622,1726,1723,1789,..
India,..,..,..,..,..,..,..,..,..,..,..,57596,65058,71806,69597,64611,70669,76623,90156,91971,99187,99120,167778,174564,192049,212113,244410,286442,315750,332549,361005,406221,441389,485982,539022,598528,609980,642392,678350,673643,645616,624651,639474,642613,660869,645402,715585,707351,693378,763601,811979,893283,941781,967107,1026341,1039500,1114955,1170479,1227190,..
Indonesia,..,..,..,..,..,..,..,..,..,..,..,9266,10825,11301,12730,14592,14982,16714,18273,20308,23469,26240,28275,29401,30094,29444,28102,29401,33514,41057,41508,40451,51319,59472,62268,64952,69777,68027,74447,105249,120569,126631,124664,119869,135709,126146,110389,94688,95589,101244,88980,114566,150433,142664,129588,156109,90906,101944,76509,..
Islamic Republic of Iran,..,..,..,..,..,..,..,..,..,..,..,26932,30002,37889,42983,53052,61738,71733,71743,74944,75944,83072,97969,119086,127369,147649,139159,152805,155218,166747,175541,188076,218008,182486,188216,182206,181919,175178,195223,179012,182027,180100,174332,187629,191282,200626,218821,223195,248624,257192,269923,272817,282918,294712,298272,304323,300011,325309,327554,..
Iraq,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Ireland,1290,1505,1290,1247,1075,903,1204,1008,1088,1002,772,812,812,972,849,652,652,772,1815,1729,1089,932,646,443,483,486,8758,8266,8223,8223,10409,10793,11003,11089,12407,14026,11723,12151,12188,12576,13085,13339,13382,13424,12967,13861,13284,12413,12714,11210,11423,10529,10103,9677,9251,9123,8569,8825,9235,..
