TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Democratic People's Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,4640,4859,4890,5985,6423,6392,6418,7658,11013,12164,12002,10395,10789,9356,9939,9663,9663,10526,11770,10618,9734,8649,8246,6880,7648,7232,6028,5959,5464,5525,6156,6218,6205,6267,6022,5746,6026,6101,6351,6456,6487,6518,6755,6654,6685,6716,6764,6804,..
Democratic Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,175408,180214,185524,190558,195990,204500,210774,217183,224151,234743,242195,249511,257852,267402,277004,286667,295991,305399,315019,322362,330607,341371,352863,362419,373616,385257,397509,410226,425004,432319,448736,464490,481333,498140,514303,535795,550931,569194,589191,590274,621619,520241,596976,687197,710155,733936,847309,740674,..
Denmark,128738,128633,155682,174741,204888,224042,228172,237131,250593,279579,289387,276379,273715,290124,251800,234413,268054,262507,254812,267636,233493,212736,160587,176001,176545,213798,212520,216421,193168,178856,167599,182218,175233,190169,183299,187420,200228,187155,186375,181419,174743,185166,180632,185234,184720,186804,186461,186458,185585,185726,206203,184614,182035,183441,169058,181113,187126,184862,184335,..
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,23954,25962,25691,25647,27097,27739,28906,29729,31592,32107,33384,32929,32311,32111,34423,32950,33623,33366,37723,41399,41929,46330,48980,48746,49684,54054,55938,45463,48215,52440,50034,50547,48228,47613,50552,54336,56020,56934,55776,55408,54262,55358,55536,58177,60392,61947,60255,61222,..
Ecuador,..,..,..,..,..,..,..,..,..,..,..,44758,44360,42763,47896,49118,51291,51604,50707,46179,46220,47006,53969,54554,54377,52972,53901,55436,58558,57913,53503,55725,49103,49279,51741,56397,59467,60007,59762,55984,47931,49159,50437,51779,53136,54701,56046,57656,59384,60961,63077,64962,66506,68147,71026,72178,71882,72438,73721,..
Egypt,..,..,..,..,..,..,..,..,..,..,..,91547,102152,98617,104271,107501,118151,120603,125282,132893,137545,147528,158487,175214,187610,196458,208499,221470,222170,231899,232532,229871,231349,220862,241856,254184,258621,278175,299084,288363,304443,317776,331438,340913,358060,370066,386675,419415,442286,473719,488795,512799,522014,531872,548462,588134,563096,575649,586464,..
El Salvador,..,..,..,..,..,..,..,..,..,..,..,48406,49814,51238,52346,54010,55844,57838,59831,61802,56504,56939,57653,59178,60050,60981,47622,46048,40367,41185,41996,42934,46250,47358,48161,49764,49770,52525,53644,54209,21392,22607,22877,25520,28069,28532,31684,26275,28035,29771,30192,26790,27318,26377,25207,24340,21673,20997,24290,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,739,828,586,637,687,724,731,781,744,707,805,845,768,813,757,846,804,882,884,930,929,928,965,964,963,965,983,977,1064,2436,1386,2909,2925,3146,3409,3745,4038,4222,4351,4497,4761,4910,4911,5053,5360,5723,5578,5384,..
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22907,23064,23202,24054,24833,25558,16418,16947,17440,18187,18799,19236,14556,15151,15473,15884,16144,16637,16933,16730,16462,16302,16253,16278,16384,16159,16117,..
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37632,33330,31759,32169,37127,39945,49577,50139,43568,40009,38813,39640,38352,38698,38613,37231,36896,40260,39860,40618,42997,39162,40650,39087,37188,35903,38966,39464,39403,..
