TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,9675,11464,10255,12026,13926,13090,8371,9882,8791,9929,8628,9175,12175,4092,7216,7292,7503,7878,7402,7166,7487,7476,7649,7698,8062,9125,10508,9363,13544,13384,13484,12704,10597,11713,9685,10254,8918,11252,20035,18888,19019,21054,26634,27166,27876,17345,29054,22484,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93700,68869,57835,55591,57224,52432,52941,60055,59492,56719,57680,59878,57895,59770,64764,65603,68109,69836,70463,59258,57299,53906,47695,46865,46083,45777,45674,49557,50073,..
Cuba,..,..,..,..,..,..,..,..,..,..,..,222983,195496,198348,223767,217104,223520,249454,280368,267217,250262,279127,271217,307312,319708,267423,260229,275046,294223,338476,341354,263876,239770,187617,191716,182453,207490,230177,225961,248471,250407,263194,187013,143539,134043,132555,152206,158431,141187,153201,161216,157802,158287,147719,125591,158728,202556,171300,175390,..
Curaçao/Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,61087,59905,67021,61457,43031,47157,47629,22642,26402,15559,16725,16465,16915,15645,14956,14035,13580,11347,9489,8186,8208,8309,6937,7019,7037,7149,7387,7725,8003,8240,8278,8285,8419,8623,8838,9036,9371,9470,9272,9428,9512,5897,5898,5993,5938,5898,5882,5797,..
Cyprus,..,..,..,..,..,..,..,..,..,..,..,5759,7632,7535,4953,6017,8112,9148,9373,10492,11285,9727,9380,9386,9747,8795,10975,13457,14315,13346,11139,16664,15089,15713,16156,16380,17951,16851,17422,17896,18450,17772,17725,18485,18679,13289,11869,12236,12311,10812,9796,8706,7182,7733,9357,8850,8953,9744,9555,..
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,765214,747739,738008,758098,768892,778006,833945,775769,864495,785316,766165,810241,808956,815140,831327,835755,861494,844642,796486,666328,563405,612344,565681,484394,478484,469987,463826,427753,358614,384765,373503,361262,356243,368285,363865,361258,347564,332717,310973,288369,283299,281178,268595,264603,270735,267873,281183,279478,..
Democratic People's Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,486859,499650,503505,518866,531913,575459,604639,638080,686220,727162,739325,788098,821842,858307,886578,878339,838417,849894,831041,815599,756331,680416,629850,567273,525375,457342,443542,409479,450456,476042,497233,477727,490368,502232,528772,540135,446064,496403,372425,348552,245082,257131,179049,203560,157356,193737,138657,108037,..
Democratic Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,56350,57800,57349,58766,68431,70064,72454,73745,74627,75865,77939,79599,81663,84228,86060,90212,92969,95668,100520,96357,91016,93928,97276,99377,102611,105797,109066,112472,115595,120759,125615,132814,138123,142637,148006,152048,160466,165276,171544,172633,182465,130435,133149,141155,143235,147437,31443,32420,..
Denmark,78578,99063,108578,117210,94722,103616,124067,102233,106532,123461,152514,143634,151253,140279,108682,112798,128820,131140,139906,140461,132081,114966,107013,100513,110491,115165,120764,117555,115638,111727,112016,118451,118054,118670,121004,125636,125863,126204,124074,125790,122370,126185,118656,119008,120759,119309,120872,117474,112538,97225,101040,100826,95048,89806,87324,89878,91707,95826,96018,..
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,30509,35603,35576,35086,33797,38198,37213,42150,41416,40303,45775,57592,49833,55224,24851,27727,29660,26581,21336,18048,17736,20263,20619,25581,25654,28204,31548,34618,37138,41176,40691,53297,54146,44045,46832,52493,51691,53298,55527,60709,55285,59873,68113,60281,60250,67171,70039,67410,..
Ecuador,..,..,..,..,..,..,..,..,..,..,..,12313,12102,11934,17230,18432,20301,21458,24080,28826,30483,31715,28485,30428,31469,38650,37646,41009,36324,36743,49838,52316,55462,51239,54895,54716,60577,56038,63823,59823,57762,56049,60049,58739,63819,69948,65206,57472,57366,64695,69066,72706,78449,84353,91294,84878,73242,74689,78869,..
Egypt,..,..,..,..,..,..,..,..,..,..,..,114352,130703,113443,129436,152356,183973,186246,185369,198968,223214,246296,263164,273429,297975,303598,292848,364542,358240,396519,401627,366433,389893,419308,321295,360324,392219,413780,394128,430434,414377,543357,511380,483628,399974,579562,616783,715422,670763,591295,608380,591958,568357,604566,561901,599406,627380,665636,734611,..
El Salvador,..,..,..,..,..,..,..,..,..,..,..,10437,10995,12627,13460,14362,14730,16357,17278,17432,14164,12880,12568,13198,13950,13785,13930,20501,20707,19726,21066,23390,24474,23994,24532,24689,23512,27197,29215,29756,32389,32729,33944,34412,34710,36554,36624,35905,31328,26001,26274,27134,28934,19926,21152,19867,22404,24458,26725,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,18,22,11,43,29,43,36,343,361,375,454,191,249,79,137,216,173,213,469,119,126,115,123,169,173,202,271,252,227,927,9152,34119,34849,46040,81709,98788,80063,103999,107745,108778,115885,117805,95391,75966,58110,40348,49899,70105,..
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,508,810,927,1014,912,963,716,825,752,789,748,756,702,614,541,522,453,559,475,496,514,525,532,539,547,559,655,..
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,105451,98619,58019,52869,43793,35042,39188,34484,29641,23364,23911,26474,24068,28176,28750,30084,28958,32273,31635,22575,24077,25432,24006,27001,23252,21949,19003,19281,20541,..
Ethiopia,..,..,..,..,..,..,..,..,..,..,..,4911,4244,5053,4919,4170,4318,4295,4156,4057,4554,6294,4184,4325,4471,4508,5760,6086,7125,8143,9015,8991,5095,6989,8654,9416,10084,10751,11500,11302,12445,15055,15783,15157,17645,18618,19506,21364,22489,22085,26776,35407,35553,42420,54373,49663,58506,59708,63424,..
Finland,99022,91390,100757,112568,128738,142750,148112,153136,162387,192354,200436,203373,246488,272872,262422,233494,245491,234339,240559,249042,250576,255793,255444,249630,365706,335714,340888,359769,367331,389869,381878,361423,358783,374090,405180,397747,405475,429650,451231,464957,486235,474890,492030,493025,506919,469995,513545,499888,474121,396064,453982,444774,433857,433720,431320,430893,444555,451628,469716,..
France,1044202,1062940,1121544,1193711,1283769,1379863,1428914,1501881,1622715,1784780,1960922,1848246,1778740,1745325,1802743,1602281,1677301,1684048,1700720,1781401,1725456,1492011,1375718,1366056,1375890,1384022,1342173,1366654,1363361,1388069,1317156,1346939,1362765,1324015,1317054,1360970,1409492,1415729,1401203,1384550,1382267,1441481,1408615,1408333,1358676,1398969,1352767,1393938,1369645,1129690,1198307,1228438,1206908,1216099,1171548,1160690,1201663,1179217,1165082,..
