,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,723388,741385,758508,774341,788141,800431,811414,822345,833388,843906,853567,863405,872187,877657,884215,894183,904102,914306,927274,939930,949037,954394,959336,959787,958418,957150,958877,948101,943912,926537,888258,875922,844662,806582,780147,770315,713141,658702,630360,587581,550724,518343,487823,489597,488831,483087,493442,500038,0
Colombia,..,..,..,..,..,..,..,..,..,..,..,20645,17744,15860,15458,19986,20060,20255,21013,21447,21845,21606,22281,22257,22885,23626,23894,24327,25054,25370,25457,24804,21822,21656,22708,23193,22972,15495,15711,16468,15861,14939,15576,16837,14723,15132,15856,16580,16817,17339,18834,17926,17905,26090,26858,26603,25864,23549,21764,0
Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,1130,1155,1182,1210,1242,1264,1287,1311,1335,1361,1387,1414,1446,1476,1512,1547,1587,1628,1670,1713,1757,1800,1842,1816,1770,1847,1864,1882,1803,1323,1439,1579,1727,1881,2045,3354,2395,2592,2804,3036,5076,5314,5446,5580,5627,5808,6002,6156,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,1149,1221,1243,1234,1272,1303,1361,1425,1471,1451,1483,1485,1545,1708,1669,1675,1694,1750,1715,1806,1878,1617,1628,1657,1724,1754,1194,819,820,1132,1106,1213,1373,2418,2971,3413,3587,3404,3300,3324,2962,2962,3124,3072,2961,2886,2762,2654,0
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,4782,4951,5126,5303,5487,5683,5889,6100,6317,6548,6781,7024,7279,7541,7811,8091,8379,8674,9001,9335,9664,9985,10303,10605,10892,11241,11568,11796,12104,12431,12510,12772,13031,17770,18247,18719,19206,18989,17764,19790,23194,23897,24531,25183,20223,20162,20817,20633,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4051,5617,4905,5187,4683,4949,5801,5428,5443,5261,4695,5127,4913,5678,5576,5841,5432,5258,5250,5472,5846,5776,5930,5882,5227,6010,5937,5928,6116,0
Cuba,..,..,..,..,..,..,..,..,..,..,..,16138,14341,14875,15391,15787,15774,16912,18838,19121,17954,19106,19308,19093,19878,19000,19436,19524,21819,25621,28503,24962,24099,17212,17116,14439,16670,16059,14156,15430,15794,16071,13258,11755,11282,8605,7148,6219,5764,5879,4920,6001,6353,5979,7044,7286,5523,7169,8238,..
Curaçao/Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Cyprus,..,..,..,..,..,..,..,..,..,..,..,34,34,34,10,20,28,28,29,30,20,19,19,18,22,22,22,21,19,19,20,17,17,17,37,34,39,32,35,34,31,34,43,55,49,45,50,75,138,184,166,185,174,169,163,211,219,281,320,0
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4876,4923,7273,7035,6706,5786,5821,6446,6712,7002,6646,7139,7937,7790,8410,8641,9104,9703,10443,11494,12272,13090,13920,14900,15631,16091,16251,16593,16640,0
Democratic People's Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,2503,2590,2693,2810,2901,3002,3108,3211,3322,3382,3441,3502,3558,3622,3686,3662,3705,3743,3776,3817,3840,3852,3873,3899,3918,3936,3727,3757,3791,3809,3820,3849,3884,3911,3933,3959,3976,3994,4012,4024,4043,4063,4076,4096,4116,4135,4148,4164,..
Democratic Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,24910,25593,26300,27042,27814,28633,29490,30387,31329,32310,33312,34380,35509,36688,37914,39188,40517,41894,43305,44749,46225,47730,49275,50875,52474,54150,55883,57686,59650,60942,63293,65502,67785,70153,72604,75144,77693,80338,83068,83457,87903,71212,80259,90821,94030,97320,97090,84986,..
Denmark,0,0,0,0,0,0,0,0,0,0,1388,1430,1347,1347,1347,1404,1481,1485,1656,2078,2621,3169,3412,3567,3746,3845,4157,4767,4761,4743,4418,4789,5021,5202,5106,5308,5627,5789,5735,6015,6289,6965,7365,8545,9301,10073,10464,11497,11758,12085,14295,13906,14243,14386,14344,15466,16424,18363,18323,0
