TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3542,3571,2635,1433,2869,205,94,43,50,50,25,4,4,4,4,4,4,4,4,749,850,1296,1415,122,112,205,191,226,286,..
Germany,7042,7830,8622,9943,10933,11970,13248,14238,15574,16942,18191,19310,20725,21902,22100,22820,23548,24059,25686,26140,25556,25970,25826,26269,26579,27288,27274,27670,26327,25988,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21154,20268,20509,16103,22525,19940,19645,18324,18083,..
Ghana,..,..,..,..,..,..,..,..,..,..,..,97,112,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,13,..
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Greece,86,112,140,130,144,212,263,270,288,378,400,436,468,662,745,839,857,1390,1372,1314,1440,1678,1638,2048,2383,3244,3319,3514,4262,4237,5609,4752,5843,7344,7506,7168,7916,8579,9353,9191,10476,10008,8939,10019,10040,10555,9781,10372,11178,9050,9594,9011,9817,9734,8219,8161,8654,9454,8151,..
Guatemala,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,14,18,36,32,36,40,43,47,50,54,58,58,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Haiti,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Honduras,..,..,..,..,..,..,..,..,..,..,..,122,130,122,130,130,122,133,115,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Hong Kong (China),..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Hungary,..,..,..,..,..,997,1206,1462,1656,1854,2110,2549,2974,3499,5692,5998,4655,5130,5728,5616,5648,5789,6170,6322,6678,6840,6916,7279,7315,7330,6948,6419,5353,4734,4392,4406,3524,3028,3593,3614,3438,3463,3784,3802,3859,3330,3226,3413,3388,2819,2711,2736,2790,2549,2891,3074,3190,3204,3492,..
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,616,623,648,738,785,799,731,806,796,803,763,806,770,788,778,785,799,799,734,716,760,734,781,806,806,785,785,792,803,796,821,821,857,809,861,..
India,..,..,..,..,..,..,..,..,..,..,..,18022,21305,22716,27947,31396,34636,36385,43297,48427,52160,54727,64141,65639,75456,84319,105998,126961,139849,158602,181156,210805,227981,254516,285484,308635,302468,328471,349902,327362,305024,294023,304150,313520,318798,325051,356483,375055,387994,430171,454957,507456,530863,549878,608087,623466,688144,717289,761792,..
Indonesia,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7816,7600,7754,7852,8147,8154,8201,8608,8946,8626,8485,8654,8669,8608,8435,8586,8809,8775,8846,..
Islamic Republic of Iran,..,..,..,..,..,..,..,..,..,..,..,436,508,767,961,1188,1336,1534,1588,1865,2502,3143,4169,5468,6653,8780,7776,9234,10609,12067,13378,13651,12874,14483,18608,19447,20632,21632,24415,28868,32929,39884,44766,50364,55760,59288,63598,63612,76244,77058,87080,108072,113929,119254,126677,129920,130399,141764,136919,..
Iraq,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Ireland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1548,1591,1674,1717,1757,1800,1883,1969,2092,1926,2052,2178,2178,2178,2189,2316,2208,2019,2021,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,..
Israel,..,..,..,..,..,..,..,..,..,..,..,810,940,1008,1004,1112,1235,1339,1494,1616,1631,1685,1843,2005,2002,2171,2365,2754,3294,3413,3409,3607,3964,4133,4266,4716,5159,5029,5353,5598,5861,5969,5839,6023,6124,6116,6318,6667,6574,6084,5954,6314,6790,6966,6368,9438,9657,10531,10721,..
Italy,2077,2369,2545,2081,2488,2668,2894,3164,3204,3478,3985,4169,4180,4712,5116,5926,6617,7528,8096,9047,9360,10048,10613,11023,11099,11808,11664,12632,13471,13579,15221,15232,15592,16578,16758,14454,14785,15674,16153,16855,17665,18587,17604,18583,18407,19048,19544,20120,20167,20092,19948,21020,20963,19962,18738,19757,19130,20452,19751,..
Jamaica,..,..,..,..,..,..,..,..,..,..,..,324,349,374,421,468,482,558,544,511,493,522,522,493,475,493,475,454,436,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,65,79,0,0,0,0,0,..
Japan,0,0,0,0,0,0,0,0,0,0,0,3013,3730,4313,4036,4500,4529,4954,5584,5206,4342,4774,7902,8320,8888,9418,9749,9950,9886,10429,9132,9091,9044,8973,9187,9402,9931,9831,9442,9488,9636,10022,9598,9593,10377,9687,10278,11048,11891,9859,10636,11804,11593,10734,10817,10024,9309,10046,10044,..
Jordan,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,104,133,144,216,252,252,360,540,389,544,774,1174,1454,1606,1606,1962,1980,2473,2527,2765,3186,3316,3370,3402,3503,3564,3532,3762,3974,4540,4673,5026,5731,6167,6383,6725,6836,7038,7474,8222,8683,9187,9660,9701,..
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49349,50868,48564,58957,57406,46537,40194,28472,27529,27821,12247,13550,14623,20678,19602,8467,8665,8813,2588,1555,2225,2171,1609,2866,2689,2918,2308,2679,2865,..
Kenya,..,..,..,..,..,..,..,..,..,..,..,191,212,220,216,241,234,198,209,220,202,212,205,194,209,191,220,0,0,0,0,0,0,0,0,158,169,97,162,194,119,130,137,137,137,169,151,133,0,0,0,0,0,0,0,0,0,0,0,..
Korea,..,..,..,..,..,..,..,..,..,..,..,194,238,299,238,299,418,558,634,641,698,918,1422,1512,1894,2171,2707,3024,4666,5267,5249,6401,7765,7992,10498,12132,13885,15034,14486,16459,19102,21546,22162,21398,17593,19026,20156,21676,23609,26190,28804,30272,34564,38372,38808,41926,49817,47127,50078,..
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83,104,104,101,108,115,122,108,256,245,256,284,277,50,292,385,385,404,426,..
Kuwait,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,850,904,932,835,857,1238,1310,1318,1609,1494,3139,4680,4802,4988,5078,..
Kyrgyzstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11567,11268,6872,5926,12622,10188,9472,8129,9378,11218,11351,11459,11567,11686,11830,2358,1958,2131,2138,2178,1357,932,799,914,907,810,817,790,803,..
Lao People's Democratic Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,119,148,126,115,140,126,144,169,158,140,155,166,140,126,130,119,122,97,101,..
Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5947,5440,3928,2124,1361,846,688,626,594,608,522,497,522,558,558,536,565,490,472,461,479,464,504,515,572,565,619,658,642,..
Lebanon,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
