TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Egypt,..,..,..,..,..,..,..,..,..,..,..,15014,13286,11573,20207,24150,23622,26941,25294,28035,22610,29312,30053,28550,28959,30275,30717,32077,35913,36636,31782,29991,30506,37643,40965,26999,37719,31527,30924,28169,34780,30435,32657,33842,34573,33842,35257,32327,28827,25613,24344,18183,16106,17715,26196,54158,86075,71959,137901,65310
El Salvador,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,28,28,28,28,28,28,28,28,28,0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,16,20,0
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,248963,227251,194002,155246,150796,145139,151814,149809,128675,118515,124440,122289,119177,139292,139120,133709,127414,156017,144216,127915,164314,170130,158984,185336,177943,163011,179057,177819,198686,139258
Ethiopia,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,1084,1290,4386,5779,7508,10449,10604,13622,15016,16038,16035
Finland,80895,71253,71650,75375,80976,82090,75344,73279,86182,104410,98037,87081,96807,106973,108855,100042,133258,131000,183362,178274,207170,127600,136755,143623,164174,208152,188566,220925,213398,208118,222641,230614,204552,230499,286065,253429,305259,286959,229321,219181,213675,260926,278199,346632,315735,205754,306994,301681,225248,221975,287953,250309,190614,215122,188290,171204,189507,172920,175363,151874
France,1872273,1888794,1998469,2013435,2024042,1867147,1732143,1709103,1638569,1637914,1553643,1404162,1233022,1226743,1236193,1113622,1261558,1269854,1261335,1357701,1377128,1219013,1251759,1116952,1078642,1053235,864886,826102,807695,872196,839636,888827,786400,620414,616767,665581,687708,605883,714900,642208,623262,522899,561610,595576,575261,592633,546578,565011,534280,465439,500830,472240,524467,554532,412218,390492,381486,414100,378230,308336
Gabon,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37437,22559,13902,7094,8208,890,429,388,862,545,564,562,533,1185,291,413,333,1096,2894,4658,2048,2639,4570,13198,12178,11378,10955,12207,12668,6240
Germany,4581882,4454141,4553500,4670176,4524012,4232643,3881027,3688761,3758276,3906659,6181546,5934814,5764671,5836267,5789272,5270946,5562264,5359109,5464373,5778808,5904115,6001668,5877410,5869996,6054098,6077024,5876331,5794794,5730881,5689382,5383860,4802236,4373089,4112997,4008984,3836258,3801431,3638340,3550990,3380249,3551104,3621466,3521975,3547703,3580913,3429023,3605367,3605272,3357860,3017069,3305373,3269957,3355786,3418076,3332762,3324713,3233590,2989975,2879168,2269888
Ghana,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,16554,18609,19679,25276,28313,34342,37315,35741,37880,46596,55603,67932,77693,88098,96916,116326,137242,141605,127523,144948,136657,151867,165429,205019,220683,254130,260042,283494,310186,334222,337719,325256,342329,341898,354885,351235,332797,357640,373567,358495,378394,389704,375986,372801,381047,374789,352838,369948,348364,352762,329209,330212,340624,292269,279974,234728,182942,201663,197000,137555
Guatemala,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,568,542,103,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,5547,9185,10062,9443,10991,10552,11042,11533,11662,7585,12694,12668,16951,25568,27632,39603,46517,38609,45587,54619
Haiti,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,955,1471,1548,1574,464,464,800,310,310,645,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,28,0,28,0,0,0,0,28,28,28,28,28,28,28,28,28,28,28,28,28,1445,3483,3173,3638,4360,4567,929,1729,1858,3070,2657,2761,3277,3767,3638,3870,3328,1496,18,0,0
