TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,1638237,1891171,2174351,2504605,2801481,3285571,3540642,3879332,3823972,3709209,3498058,3470060,3546672,3637586,3857103,4085917,4359085,4641132,4841788,4973396,5038638,5481406,6072216,6015651,6534880,7152179,8009303,7785840,8572138,9244890,9461426,10148617,11309734,13175674,13306545,14238326,14859552,15183970,15767629,17917681,18512488,19433591,20322274,21115449,22346282,22816459,23784438,25537752,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,250972,261930,276305,292504,287641,298265,301110,296722,262103,316569,315972,318455,326796,337168,338226,364843,372961,397867,387574,413191,425089,449601,472364,494582,501875,532905,539270,551043,484640,478559,463024,443337,450897,474637,492004,537445,527637,541707,551299,478990,505157,468481,619725,618989,639003,723359,667879,627905,..
Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,7955,8397,8315,8389,8451,10404,8923,9572,9232,9770,10204,11214,13967,12415,13124,12100,12064,10697,11333,11291,12117,11226,10981,6011,9988,6995,5639,4811,4994,7794,9787,8141,12290,12894,14355,16375,17803,19150,24034,25988,29046,36970,38006,36295,32686,32802,29471,29690,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,19691,21082,23948,22739,25432,24949,31729,34660,35463,31794,27694,26456,25063,26748,28067,29560,32306,33007,39357,41095,44263,56541,57503,56042,58517,56765,59145,63606,67143,70990,67954,70550,76291,77858,76143,83549,92206,93681,92026,92120,94742,95393,99893,101629,97965,104959,109785,109179,..
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,34153,37738,39060,41075,44413,51403,51544,58172,54704,51513,46182,42004,37496,38640,38614,52191,52445,50695,51034,43123,43646,56331,60356,61179,52530,61945,53718,44388,67244,52525,40347,56454,42091,50204,49870,33477,50576,49897,38268,43325,47059,70827,82443,76465,71572,85980,95397,94256,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,195375,146958,138775,145999,148420,163314,154940,171384,188658,185193,163001,166504,175213,193978,181996,186556,190123,194249,183573,181059,153227,149312,133380,128268,126514,132180,132299,140613,133909,..
Cuba,..,..,..,..,..,..,..,..,..,..,..,274424,272859,298112,320488,329944,355233,387310,402802,414666,428494,422925,425410,463487,441395,444103,436862,461661,475365,511606,442657,353808,287821,269029,282238,309906,331357,349323,337420,334118,357889,342854,332095,340833,331837,336431,339142,319522,352321,336309,384698,364855,371458,349236,341856,347914,357764,328648,321541,..
Curaçao/Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,229022,223543,250404,233275,160860,177350,175779,155438,156632,164360,155580,171904,182918,126337,74711,70947,60520,54841,58231,61060,60837,63277,53466,54452,55000,56462,99493,113904,85802,88171,91439,89760,85630,90618,87238,86061,97686,93448,95920,85283,92918,84787,79942,90291,92846,78760,61968,54638,..
Cyprus,..,..,..,..,..,..,..,..,..,..,..,24204,30845,32357,24698,23383,27155,29605,31327,34046,35939,35299,35885,37260,37152,36309,41855,45367,48038,49814,54216,55413,64710,69409,79223,68538,76502,74917,80100,80428,86200,85173,86334,94039,87523,89039,92614,97339,102775,100662,96849,93771,87785,75162,76649,77533,82979,84933,84257,..
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,299421,327129,362456,379759,410075,414366,455662,457506,466569,453756,465566,446742,420994,429945,425810,422953,426838,398217,414539,365392,304513,326682,309132,316822,327438,340051,326133,342067,339603,323270,344324,349392,358258,389724,404751,400758,402979,405944,383896,375424,365488,360695,346283,368737,360010,333220,390208,394219,399275
Democratic People's Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,36126,49101,50743,62007,58895,65480,62229,90609,105954,113474,109909,107196,106453,105273,104176,96016,100041,104557,108249,111488,84842,69071,61851,41806,55286,58947,40865,54446,35038,42802,47205,47287,46042,46369,38895,29720,35490,36314,35144,34867,35845,34376,37143,35444,40420,43274,39719,39362,..
