TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,1112,1235,1314,1440,1415,1487,1778,2045,2531,2520,2718,1933,2203,2660,2754,2956,3060,3049,2574,2732,2880,3298,3532,3863,3989,3877,4072,4453,4802,5040,5285,5623,5774,5900,6199,6674,7024,6883,6314,6581,6541,6811,6833,6689,6739,7042,7293,6959,..
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,475,558,659,716,839,997,1192,1390,1570,1634,1717,1728,1721,1339,1840,1904,1912,2016,1796,1811,1832,1847,1868,1886,1980,2081,2272,2527,3380,3413,3690,3496,3528,4500,4561,3136,3251,3528,3481,3845,4723,6253,6840,6772,7240,7182,7073,7156,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21542,16920,12283,11081,10994,9889,9457,10404,10238,10174,10318,10516,10631,11556,11855,12035,12740,13586,13651,12211,12521,12056,10940,11333,11848,12344,12334,12985,13259,..
Cuba,..,..,..,..,..,..,..,..,..,..,..,7625,7484,8104,8842,10055,10908,12175,13788,14681,9745,17820,19051,20228,21892,14278,15325,15696,15847,15930,20426,16279,14098,11992,12722,12748,14321,14627,13990,14022,14350,13828,13306,11642,11534,12812,13759,13932,13165,13331,13615,13802,14105,14123,13241,13651,13583,11042,11016,..
Curaçao/Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,1148,1213,1213,1278,1303,1289,1278,1296,1318,1328,1328,1350,1357,1213,1127,889,997,1015,1087,1192,1213,1314,1429,1512,1570,1642,1638,1735,1732,1728,1645,1652,1746,1789,1843,1800,1854,1832,1915,1951,1955,792,752,767,752,752,730,660,..
Cyprus,..,..,..,..,..,..,..,..,..,..,..,637,785,832,684,569,731,799,853,882,947,914,947,979,1066,742,878,983,1058,1145,1202,1202,1307,1372,1418,1429,1451,1422,1516,1537,1606,1624,1706,1854,1933,1966,2030,2167,2286,2128,2084,1904,1746,1663,1667,1652,1750,1866,1908,..
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,63025,65808,67572,69847,71950,74509,76651,79805,77242,80111,83138,84218,86101,86422,87786,89363,91544,92844,93481,96919,83066,70830,61762,62906,66262,65437,66769,67813,67676,68198,71780,74009,73980,80489,83322,85007,87023,87646,78556,78455,80978,80557,76630,79668,81522,82822,85948,87127,..
Democratic People's Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,22637,23940,25247,26561,27868,28750,29635,30517,31381,32382,33325,34412,35352,35986,38376,38437,39766,42642,44701,42404,40262,35100,31406,32591,32202,29578,26564,23022,25268,26089,27166,26593,28238,29549,30812,30172,28948,31208,28415,29135,25859,25873,24660,24095,18490,22784,20061,20756,..
Democratic Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,7812,7956,8622,8820,8834,9342,9378,9428,9562,9684,9241,9058,9072,9090,10872,3910,3794,3859,4298,3377,3611,3629,3629,3636,3820,6804,7085,10001,10685,10580,11138,10328,13993,13921,15185,14292,15329,13147,11743,15631,14378,13853,16716,17329,..
Denmark,4910,5591,6160,6750,7128,8244,9335,10012,10714,11610,13860,15300,16380,16560,15095,15397,16621,17676,19775,19951,20819,22694,23522,22914,24412,25880,27572,28246,29027,29606,30272,30992,31478,31658,32713,33772,34315,35402,35471,35438,35975,35993,35492,34765,35910,36940,36497,35618,34430,30233,30650,31133,30755,30092,29570,30109,30318,30869,30864,..
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,1073,2297,2430,2430,2718,2678,3017,2974,3643,3434,3265,2430,3182,4687,4979,4522,5494,2678,2596,2218,2426,2974,2851,3006,2887,4475,4655,11236,13367,14058,14216,15750,16643,13381,14584,15152,15498,15840,15829,17183,17536,18457,19753,16265,18101,19058,20202,20842,..
Ecuador,..,..,..,..,..,..,..,..,..,..,..,1044,1159,1152,1339,1508,1800,1926,2261,3935,4313,4730,4896,4774,4896,5022,5065,4896,4982,5065,5479,5998,5922,5735,6401,6494,6757,7294,7459,7456,7985,7880,9695,10282,13655,14861,18076,15228,15790,21578,23872,25852,28775,28912,30308,30888,32108,34090,35994,..
Egypt,..,..,..,..,..,..,..,..,..,..,..,14807,14922,15131,17071,19332,22928,27486,29308,32231,36079,40482,42696,41119,42149,45749,49673,52956,55404,58615,60750,62964,65257,67633,70096,72648,75427,77386,80885,84373,88387,91447,95490,102190,109022,117724,124448,133362,134183,140098,146527,124312,143593,134352,137671,137916,149324,157043,165388,..
El Salvador,..,..,..,..,..,..,..,..,..,..,..,986,1134,1267,1393,1476,1649,1912,2120,2203,1854,1678,1584,1674,1688,1728,1699,1854,1897,1832,2048,2117,2261,2592,2722,2812,2959,3136,3218,3643,6178,6023,6653,6966,5450,7618,7549,7790,8024,7934,8032,8233,6271,7909,7574,7218,7272,7403,7728,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,18,22,11,43,29,43,36,40,14,29,65,104,119,36,50,86,43,40,36,32,40,29,36,40,43,29,11,36,54,148,144,288,302,367,403,468,551,540,612,720,756,936,1080,1368,1512,1663,1585,1488,..
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,223,241,277,284,306,317,230,256,266,220,220,227,216,209,216,238,209,234,230,252,270,281,288,295,302,318,403,..
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9828,10372,7304,4770,6170,6304,6865,7970,6919,6588,6599,6538,6782,7312,7718,7805,8420,8611,8406,6988,7542,7366,7873,7762,7621,7412,7747,8212,8496,..
Ethiopia,..,..,..,..,..,..,..,..,..,..,..,1314,1415,1292,1242,1217,1166,1094,1138,1249,1264,1390,1465,1566,1685,1440,1526,1865,1667,1692,1753,1588,1588,1796,1876,1966,2030,2027,2012,1922,1976,2351,2491,2585,2866,3402,3229,3503,4277,4403,5022,5724,6995,7315,9202,8201,7708,8440,8664,..
Finland,22252,26921,29362,30024,33030,35518,38221,39380,41713,45972,50443,53363,60170,65030,65894,60523,64267,65318,71204,78408,82148,84301,81972,87343,95285,98377,99702,104677,111481,114894,117065,112957,113990,121021,127901,130586,130144,142585,146880,149677,154433,152878,157162,159487,166000,155002,169830,168347,155527,130190,145296,141268,137394,139338,137423,136415,138611,139352,142153,..
France,148892,160038,169085,178690,187751,199850,211730,218455,224795,246632,260669,268704,281113,302368,316847,293177,313751,321214,329789,342616,343300,333076,329029,331589,339314,349679,361778,376024,392659,407228,412798,421006,435787,434333,435305,444985,448344,459716,475153,477396,484762,484780,480060,481824,491717,502369,483350,477356,463118,402199,422798,454113,457681,451963,446137,441946,448981,445743,445813,..
Gabon,..,..,..,..,..,..,..,..,..,..,..,0,108,115,126,133,540,551,644,673,864,882,1120,889,1256,1357,1260,1379,1386,1368,1404,1422,1422,1433,547,684,709,745,1048,1044,965,1033,1087,1123,1130,1156,1220,1267,1332,1339,1418,1505,1588,1678,1753,1807,1969,2332,2352,..
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27277,17503,9774,6908,8402,3424,3060,4104,2927,3013,3226,2232,2412,2491,2531,2653,2441,2509,2560,4723,7693,10667,10354,8377,10141,9904,10447,11860,11901,..
Germany,234000,244958,254765,269402,293040,310273,321116,325789,356598,388789,530680,545335,574628,641981,662659,618354,668743,678546,703084,731660,718369,710107,695063,706846,739872,756328,766224,774914,807667,826038,779324,772247,762883,727920,725051,737006,724064,742669,749855,764521,761724,789217,794088,793807,817574,830020,834491,861505,845878,727276,822618,843242,830131,820260,838303,823770,830066,836017,829897,..
Ghana,..,..,..,..,..,..,..,..,..,..,..,8780,10008,11657,12550,11754,12132,12575,10174,12881,14231,14209,12866,4651,1973,5213,9882,11333,12452,12697,12809,13370,13914,14288,12928,13255,13849,16578,11059,15563,15502,15610,14054,7942,7304,9151,12935,9673,10667,10624,11426,14044,14951,15966,16848,15044,10760,11082,14629,..
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Greece,3370,3827,4194,4669,5850,7013,10602,13590,14893,15908,17816,21276,23522,26521,27400,28807,31374,31741,34693,36896,37793,36558,35950,38264,40352,39762,39355,38603,42347,43805,43592,42826,42286,40871,41947,43438,43657,44809,46469,46440,48769,49543,50868,50962,50353,51908,50962,55181,55746,50641,50911,52704,41663,40918,46328,45605,40626,44222,44689,..
Guatemala,..,..,..,..,..,..,..,..,..,..,..,1256,1087,1296,1382,1307,1447,1825,2099,2858,2959,1930,1660,1577,1591,1739,1825,1796,2300,2153,2326,2459,2772,3010,3244,3463,3607,3830,4090,5033,5281,6883,7888,8104,8690,9688,9641,10552,9796,11308,10994,11333,11664,11135,11984,12769,13036,12871,13304,..
Haiti,..,..,..,..,..,..,..,..,..,..,..,40,83,83,169,169,209,209,292,338,378,558,547,580,598,623,626,565,594,608,644,479,374,238,148,288,335,378,418,418,378,378,335,252,248,554,569,277,256,396,241,299,738,616,662,662,673,680,690,..
Honduras,..,..,..,..,..,..,..,..,..,..,..,662,655,824,860,936,983,1098,1105,1267,1397,1512,1472,1584,1681,2102,2048,2660,2794,2682,3067,2761,2146,2293,2052,2092,2801,2635,2804,2934,3208,3366,3546,3906,4284,4352,4363,4626,4997,4471,4561,5724,5857,6059,6613,7603,6052,6657,7654,..
Hong Kong (China),..,..,..,..,..,..,..,..,..,..,..,8608,7956,8708,8348,8842,10534,11495,12776,14119,15120,15401,15433,16816,18536,18814,21388,29650,30888,25178,24934,25049,24196,23234,21438,20225,19937,18965,18490,17550,17770,16762,16114,14854,15430,14638,14015,13104,12182,11146,11081,11106,11282,11192,11282,11437,11254,11197,11083,..
Hungary,..,..,..,..,..,23656,25434,27083,29200,30809,34297,34639,36475,38675,40403,41612,43657,45742,48341,49212,49694,50440,50443,51340,52474,53021,53590,54641,53903,54018,49504,38412,32623,31216,29354,30172,30557,31756,29833,30614,31676,33970,36922,34506,34189,33376,33818,34096,35658,30820,35222,35561,53287,53424,52906,55451,57607,60246,62125,..
Iceland,760,799,778,803,889,734,623,637,752,1339,3168,3460,3899,5400,5378,5044,5306,5720,5756,6368,7121,7214,8046,8424,9043,8604,9176,8723,9191,9396,9212,8903,9022,9637,9828,10249,10703,12078,14368,17273,18864,19868,20959,21121,21301,21200,25168,31702,47002,48607,48593,49925,51124,52841,52855,54464,53424,55398,55889,..
