TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Egypt,..,..,..,..,..,..,..,..,..,..,..,20050,22539,20697,23433,25581,29858,32002,32950,36357,40751,46634,50365,56313,61789,64474,65699,70824,72056,75788,77863,77265,80102,81887,76630,81466,85962,92827,97785,102147,100105,111733,113491,117819,128526,145028,152134,163595,170864,174449,176922,182671,189086,189366,194287,203281,210890,216758,223577,..
El Salvador,..,..,..,..,..,..,..,..,..,..,..,1305,1532,1689,1698,1930,1953,2016,2025,1937,1596,1500,1485,1490,1518,1641,1622,2000,2088,2038,2107,2773,3174,3553,4094,4580,3984,4883,5211,5166,5178,5372,5380,5930,6153,6372,6702,7108,6393,6198,6032,6263,6235,5990,6205,6614,6784,5996,6423,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83,63,41,44,41,48,51,57,76,63,67,67,60,64,67,89,150,137,182,601,928,2771,2975,3803,5903,6976,6071,7500,7744,7880,8341,8589,7875,6829,5694,4512,4904,5952,..
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,438,633,715,779,855,803,596,632,618,679,662,671,664,582,506,496,429,451,483,509,533,548,559,571,582,642,715,..
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35015,31361,23460,18094,17548,15887,16846,16431,15857,14839,14450,14913,14507,16496,16551,16752,15475,19258,17690,14701,18570,17637,16372,18789,17400,15162,15463,15971,15697,11611
Ethiopia,..,..,..,..,..,..,..,..,..,..,..,1308,1208,1299,1322,1178,1185,1166,1254,1320,1352,1490,1353,1453,1346,1386,1637,1862,1930,2032,2171,2214,1394,1798,2072,2326,2590,2753,2923,2918,3201,4039,4210,4571,4811,4428,4725,5440,6171,6277,5841,6743,7121,8332,10239,9987,11751,12258,13083,..
Finland,14214,14131,15912,18319,20836,23847,26608,27332,30973,36234,40210,39855,43610,47925,44209,44189,50403,50029,54639,54120,54866,45547,44086,42606,43960,48285,48450,52188,51473,51503,53834,54564,51807,53100,59564,55715,62193,60174,56818,56031,54593,60585,62955,71241,67154,54918,66451,64497,56040,53796,62001,54563,48908,49707,45690,42354,45153,42402,43753,41510
France,265931,274574,296837,313548,331667,329473,325304,343309,356464,378245,407713,423373,438776,474378,456559,423108,463082,448854,467903,474561,455214,407159,389602,373928,361496,351798,341624,335132,333554,349263,345599,370301,359313,340933,335700,343648,359524,351029,372496,366618,364675,368205,362524,368283,368883,371708,362434,353574,349331,336204,340052,325468,328826,329326,297551,303917,306067,309872,303478,293232
Gabon,..,..,..,..,..,..,..,..,..,..,..,475,473,611,559,757,1173,1325,1743,1332,1291,1622,1758,1822,1507,1682,1477,1278,1442,1130,910,1074,1113,1203,1165,1315,1415,1522,1618,1522,1465,1477,1385,1389,1431,1733,1802,1938,2015,2079,2660,2985,3127,3283,3251,3253,3459,2518,2538,..
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33488,25506,19870,15972,10403,8137,6329,5482,4910,4385,4633,3382,2820,3020,3205,4066,4526,5453,4667,5292,4995,5954,6610,7218,7849,8530,8957,8940,8770,..
Germany,540039,546839,580748,620705,632721,637541,625942,618684,653910,711164,981826,978142,1001574,1052182,1025899,973366,1029250,1013472,1051707,1099049,1048151,1015867,974527,976080,995680,1004256,1006959,997133,989620,965798,940008,917644,877602,871822,859106,856597,887062,854920,846944,814959,812312,831479,817902,820688,804625,786931,798682,767019,773893,720183,758848,731242,745142,763652,723112,729684,734487,718794,696131,659099
Ghana,..,..,..,..,..,..,..,..,..,..,..,1915,2007,2080,2181,2306,2349,2507,2528,2214,2190,2677,2276,1491,1786,2067,2203,2297,2364,2614,2517,2257,2658,2696,2915,3184,3483,3605,5439,5819,4950,5445,6657,6370,5869,6307,7725,8356,7871,9254,10338,10871,12803,13679,13101,13962,12810,13188,14715,..
