TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cyprus,..,..,..,..,..,..,..,..,..,..,..,0,2,0,0,0,0,0,0,0,0,0,0,0,127,181,134,369,222,249,254,254,68,81,71,52,47,50,68,78,128,135,132,137,155,141,154,132,111,58,66,30,1,1,9,15,0,12,54,..
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,132042,129077,122712,120576,124236,128087,134651,130405,138843,132147,132111,137009,138816,140211,138921,138868,138865,137202,128704,116577,106132,98232,95970,90532,91432,90059,87762,80690,74155,86241,83485,80226,82646,82046,78037,79159,81977,77249,72290,74071,72683,69643,65876,63475,62882,63261,62608,62196,..
Democratic People's Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,66596,67972,69175,71409,74327,79811,84972,88347,94088,99999,103465,108885,113546,116831,121971,120205,114420,115958,114966,108889,104806,92870,85405,78884,72564,62824,61666,55638,62351,66818,68840,65592,67140,68671,72467,74336,60647,67687,50330,46722,32013,33516,22368,26058,19546,24078,16634,12404,..
Democratic Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,1012,1016,853,857,828,901,911,855,769,855,869,840,824,839,837,852,864,872,896,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Denmark,17098,16261,17608,18239,16407,15225,15468,13499,12605,11611,9198,6083,5530,7914,6798,8120,11446,13102,14153,17169,24191,19257,23314,21959,23601,28978,29262,28709,26801,22063,24178,32789,27321,28639,30765,25753,35363,26312,22342,18771,15732,16636,16662,22729,17404,14686,22068,18487,16253,15969,15520,12920,10129,12866,10203,7268,8406,6289,6445,..
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,20,37,547,68,566,237,24,41,473,449,525,149,195,254,259,228,319,344,642,1155,1694,2237,2294,3217,3327,3434,2946,3213,3383,3546,3535,4133,4325,4096,4110,4463,..
Ecuador,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Egypt,..,..,..,..,..,..,..,..,..,..,..,1417,1255,1081,1923,2292,2222,2555,2437,2695,2171,2820,2893,2747,2784,2908,2962,2996,3287,3232,2864,3436,3525,4191,3561,2992,3214,3297,3367,2973,3513,3335,3576,3708,3789,3708,3301,3026,2698,2396,2282,1770,1607,1771,2547,5198,8232,6834,13060,..
El Salvador,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23577,20724,17381,12576,12198,11337,11861,11589,11130,10463,10424,10340,10004,11931,11902,11996,10679,14364,12982,10631,14234,13406,11997,14251,13126,10856,10957,11563,11330,..
Ethiopia,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,103,122,415,549,710,988,1003,1284,1420,1517,..
Finland,7424,6509,6816,7188,7439,7800,7299,7142,8539,10096,9717,8654,9625,10390,10587,9624,12930,13232,17997,17359,20124,12914,13653,14395,16170,20301,18580,20886,20679,20404,21691,22808,20378,22747,27228,23806,29462,27857,23016,22553,21634,25838,28068,34924,31548,20797,31680,29914,22994,22358,28782,23540,18959,20800,18729,16260,18057,16559,17287,..
France,189643,191599,202817,202813,203776,188556,173469,170438,164018,162805,153272,140116,123722,123302,122490,108286,122568,123092,119874,126143,125563,111276,114583,103381,100071,94473,80690,73542,73842,80405,75909,81081,72036,55712,55903,59257,62845,57832,67661,60082,59596,50097,51799,53178,51742,55894,52561,54989,50194,42240,45600,39485,43772,46256,34325,33480,30569,35018,37896,..
Gabon,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3533,2105,1274,690,688,96,51,51,86,66,34,76,58,124,29,37,33,157,265,473,101,265,461,1346,1234,1151,1113,1235,1272,..
Germany,454216,440982,448718,462261,447802,422514,389002,374734,377980,394080,585657,558043,547870,555680,556003,499467,531567,511917,523343,555409,561241,570978,558535,566570,591390,591525,573798,565193,562095,560392,516183,460838,419993,400670,392335,380339,382771,365082,356239,337578,345906,348259,349503,356856,347983,334530,340908,350941,324821,292075,314318,314090,324985,333406,317175,315971,303894,284336,273068,..
Ghana,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Greece,1634,1826,1940,2525,2835,3442,3725,3677,3716,4760,5377,6715,7501,8414,8734,10840,13077,13522,12547,13647,13222,14867,16025,19915,21191,24827,25318,27980,30694,33028,33519,32371,34416,34571,35843,37087,33689,33484,34301,33738,38295,39271,37858,38356,39012,38538,35350,37325,36079,35735,33557,33323,33567,29266,27449,23622,20065,19976,19762,..
Guatemala,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,54,51,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,525,869,952,893,1037,998,1045,1093,1101,718,1198,1206,1606,2419,2614,3746,4401,3652,4313,..
Haiti,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,88,124,132,149,44,44,76,29,29,61,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Honduras,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,137,329,300,344,412,432,88,164,176,290,251,261,310,356,344,366,315,142,2,0,..
Hong Kong (China),..,..,..,..,..,..,..,..,..,..,..,100,69,41,42,34,52,42,32,35,24,148,2488,7341,10257,12610,15312,19070,21164,22567,24127,25916,27822,30302,23400,23738,19672,14856,17629,14864,16789,19606,21278,26057,26093,26418,27831,29925,27690,30096,25198,30579,30145,31661,33655,27297,27240,25633,24959,..
Hungary,..,..,..,..,..,39043,38626,37409,36055,35465,36619,35862,35019,35769,34660,33760,35014,35015,38395,37804,37332,36931,38070,36490,36956,35576,34756,34847,33072,31085,24622,23199,19307,18412,17840,17549,17353,16494,16211,16480,15561,14972,14697,15128,14494,12544,12196,12254,11930,10207,10661,10813,10459,9112,8988,9347,8693,8909,8106,..
Iceland,72,72,37,25,22,20,15,12,12,5,2,2,2,2,0,0,0,0,0,58,75,133,129,182,253,269,298,241,244,253,270,275,193,188,282,230,270,236,277,241,411,389,406,384,433,415,370,444,391,358,377,380,389,408,364,388,413,428,456,..
India,..,..,..,..,..,..,..,..,..,..,..,127211,130485,128995,144692,157017,169661,169551,158220,172259,181576,204300,217957,232303,251980,261514,286615,306749,323511,343616,364792,397841,414232,432880,451481,476984,496278,521176,518115,554463,571514,585167,601891,611908,671857,709843,757667,837986,909717,1016754,1088763,1158307,1287535,1345257,1486024,1447130,1438949,1522540,1628037,..
Indonesia,..,..,..,..,..,..,..,..,..,..,..,529,496,335,425,533,428,486,494,499,558,500,471,403,170,5127,9581,11486,12221,14319,15556,17211,17706,17635,19723,22408,25258,29815,33663,42533,52125,60065,61957,83116,76377,87335,104787,130035,116893,119131,141875,168242,150669,114799,145141,159532,174075,194437,221921,..
Islamic Republic of Iran,..,..,..,..,..,..,..,..,..,..,..,426,666,1111,1211,2132,2115,2135,1325,1883,1985,1676,2230,2113,1668,1651,1623,1600,1659,1220,1218,1694,1493,1989,2032,1871,2049,2064,2382,3073,3412,3217,3254,3518,3741,4736,4658,4945,3649,2705,2706,2995,2744,3763,4317,4635,4567,5118,5364,..
Iraq,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Ireland,10092,10292,9643,9680,9377,8196,8918,9166,10632,10141,9064,8925,8310,6933,7997,7251,7596,8045,6882,8504,8098,8679,9160,9817,9422,10700,11564,14817,14976,15233,14698,14167,13734,13202,12488,12498,12498,11676,11753,10077,10642,11223,10988,10573,9937,11021,9850,9590,9430,8310,8177,8106,9382,8456,8340,9041,8680,7432,5828,..
Israel,..,..,..,..,..,..,..,..,..,..,..,23,6,6,3,3,3,3,3,3,3,3,2240,4199,6696,7318,8107,8633,8544,9147,9463,10173,12404,14169,15016,16463,19559,21576,23204,22807,25559,28777,30074,30985,31016,29522,30512,31906,30228,29207,29321,30401,33676,28107,26157,25610,21856,19785,18631,..
Italy,31131,33162,35994,36537,31676,33935,35141,38653,36628,36962,34960,32609,30811,30425,35319,31349,35035,35099,34325,39580,44435,48851,52476,47521,56618,59795,54898,56141,52852,52537,56563,53339,44891,39499,42284,45459,41582,41759,42648,41818,43945,49132,50708,55628,63423,63830,61851,61932,59775,47517,52443,59129,61150,53115,51160,47931,42666,37063,34333,..
Jamaica,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,137,127,34,161,134,129,134,156,164,173,176,129,129,215,207,227,144,78,88,117,154,132,159,178,217,205,237,229,200,213,..
Japan,182603,190154,184095,189763,196192,192018,204885,223306,224398,235991,223893,201562,206830,211754,211466,205481,204350,193603,175493,188755,198434,212201,222607,219403,243536,255183,246327,244433,264562,266111,296275,297963,294963,299721,308639,318360,327185,330546,303671,318932,346245,356130,374841,389763,396421,399925,395382,414199,398099,384950,421884,408143,428261,456808,456484,452378,444521,444309,431279,..
Jordan,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929,879,1497,724,911,689,860,..
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,158692,158746,160449,146599,138747,114269,101956,85153,85512,79543,74720,76860,81316,91548,100560,102692,107378,115905,145436,128445,137625,145637,147599,145769,136308,128551,138883,139943,138384,..
Kenya,..,..,..,..,..,..,..,..,..,..,..,205,100,177,167,116,154,157,128,39,42,222,115,81,209,223,210,225,276,320,369,372,389,323,301,384,354,362,290,283,261,261,391,366,427,354,473,434,432,376,654,935,837,1184,1845,1960,1931,1833,1037,..
Korea,..,..,..,..,..,..,..,..,..,..,..,22205,23016,28553,30450,32086,34785,37674,38425,44127,50536,56941,57650,62880,76550,83971,87994,87906,93600,89821,90786,91885,86860,95281,100854,106550,122088,131996,136068,142325,180495,193595,182876,185355,200190,200056,210350,216485,242482,259038,284290,306207,298756,291996,298561,311363,303388,312840,315264,..
