TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Denmark,53,41,41,26,150,155,253,245,309,396,526,469,929,13435,12978,20609,43383,43938,48641,52655,51331,48300,47684,57364,63124,69450,68817,71906,73773,70310,72806,75067,74046,77121,74836,76933,83314,79426,79106,78443,77205,79767,80745,83178,83780,83856,85258,84003,84365,83581,89137,81589,82860,82277,77372,79492,81796,84005,83609,..
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,1256,736,736,823,693,823,779,953,1126,1342,1212,1689,1472,1862,1992,2425,2858,8414,9480,10361,11079,11042,9635,8355,9800,11085,11648,12301,12451,13601,13600,14846,14444,15982,16555,17366,18596,19319,..
Ecuador,..,..,..,..,..,..,..,..,..,..,..,119,126,158,180,252,324,396,540,3882,4164,3869,4975,3227,3668,3007,5554,5533,6343,9163,4099,4252,4653,4455,5048,5357,6157,8052,8631,7803,16366,16770,17197,18656,19264,20522,21670,27065,27701,28280,29480,32290,34106,36414,38338,40064,40417,41477,42704,..
Egypt,..,..,..,..,..,..,..,..,..,..,..,703,618,478,784,924,1009,1037,1091,1118,1041,1208,1208,1208,1208,1208,1227,0,0,0,0,0,0,0,0,0,32900,39992,42941,47441,50436,55289,60793,65351,72119,78354,84560,90252,93647,99799,101376,103464,121957,135835,132433,132811,141332,141847,144761,..
El Salvador,..,..,..,..,..,..,..,..,..,..,..,331,360,389,418,457,536,572,626,644,1292,1264,1264,1444,1577,1735,1832,1858,1951,2002,2185,2315,2944,3405,3792,4159,4275,4664,4748,4213,3070,3139,3320,3679,3746,3697,3445,2517,2658,2775,3706,3519,8242,7378,6948,7191,7087,6667,6663,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,92,92,123,123,123,154,154,154,185,185,185,185,185,216,216,216,216,185,185,185,95,95,310,310,341,436,483,578,656,656,656,746,1283,2098,2242,2386,2553,2433,2284,..
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,797,962,981,1234,1279,1285,1089,1038,1122,1230,1197,1233,1065,1048,1028,1019,1007,1028,1075,1154,1223,1271,1303,1330,1351,1429,1574,..
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12051,11347,11740,5669,11203,7209,9345,10440,10412,11575,12080,12419,12415,14187,15944,16286,16465,16789,18147,17535,17771,16852,17746,17509,19170,19496,20869,19632,20548,..
Ethiopia,..,..,..,..,..,..,..,..,..,..,..,3968,4008,4251,4367,4463,4529,4581,4680,4732,4848,5021,5129,5301,5441,5635,5790,5960,6050,6184,6258,6573,6658,6992,7231,7547,7949,8251,8811,9161,9530,10087,10407,10932,11539,11970,12512,13098,12499,13176,14089,14844,15948,18264,18352,20402,22939,23411,24161,..
Finland,3240,3528,4010,4338,4860,5418,6145,6912,7913,8881,9378,10098,11390,12676,12708,13874,15574,16070,17442,18533,19793,21002,22734,26449,27047,28778,29902,32584,33880,35334,37444,38682,39427,39733,40468,42284,59283,60538,61966,61007,97210,105471,108500,109113,109680,109572,112030,112017,111779,120923,129739,119939,126784,121602,120885,114466,120842,122293,126982,..
France,175356,199742,276577,331699,389920,460345,500258,601804,665510,738816,824404,1081670,1329755,1533502,1295312,1260361,1291930,1285583,1451485,1345805,1264764,1230369,1140633,1155631,1166753,710580,757991,756393,729652,747907,790021,878194,878403,881414,862632,882550,949933,904341,930915,948558,779229,804252,766320,852889,877605,874874,846803,884898,893736,952714,1002526,910583,977694,1007856,925282,960824,965686,977680,965397,..
Gabon,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,65,72,76,79,79,83,86,86,90,90,90,94,94,540,540,540,540,540,1366,1345,1525,1605,1493,1287,1233,1222,1384,1319,1406,1377,1416,1615,1651,1611,2087,2347,2527,2751,2747,2693,2870,1800,1815,..
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31821,34545,34011,31259,24268,4470,3560,6677,4817,11481,11113,8023,8362,8819,9138,11000,9639,10914,12210,7970,4961,6742,8287,14731,17944,16857,18155,18960,21552,..
Germany,72436,78868,87738,92949,99021,108343,119325,124762,133062,150775,1085145,1073258,1103916,1147987,1058756,1057206,1155272,1109083,1238531,1307268,1192885,1098535,1003698,1004103,1228044,1291561,1316898,1302810,1255879,1133037,1213292,1238490,1184161,1166347,1100916,1081244,1213283,1083980,1057379,1081539,1077392,1143079,1131322,1462923,1439516,1409080,1524528,1311161,1451343,1406948,1454382,1284431,1338347,1400585,1280260,1348497,1329240,1338308,1213394,..
Ghana,..,..,..,..,..,..,..,..,..,..,..,768,865,933,433,433,476,520,476,390,476,563,520,346,390,476,520,520,520,520,520,476,563,563,649,1931,2245,2518,2537,2613,5914,5875,5813,5717,5743,5724,6134,6065,6430,7151,7421,8664,10848,13974,15109,15373,17334,17295,16390,..
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,11,11,14,11,14,14,14,4,11,7,14,11,18,22,22,22,25,18,32,0,32,47,58,58,47,54,50,54,50,65,36,29,25,11,11,14,18,18,18,18,14,58,32,61,54,115,97,116,..
Greece,913,982,1155,1317,1507,1720,1936,2004,2134,3408,3911,5492,6550,7396,7209,7231,8123,9351,11785,11655,11752,12081,12026,12794,13768,14859,15747,19568,21365,26032,27213,30606,32245,33977,36838,39245,42722,45985,50217,51941,55049,61759,64731,69956,74868,81562,87281,89699,93180,90171,81953,78298,81255,76227,71763,78500,85307,82200,76993,..
