TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Greece,1994,2272,2578,2981,3449,3946,4540,5094,5468,6383,7164,8248,9637,11052,10807,12024,13496,14940,17204,18461,20362,21254,22727,24368,26068,27666,28102,30748,31565,32915,32666,36050,38203,37732,39355,41429,44111,44723,46030,48542,51145,52366,56790,59198,60667,60750,63634,64645,65254,65272,65268,63461,68609,62806,61744,63137,71989,70660,60345,..
Guatemala,..,..,..,..,..,..,..,..,..,..,..,576,742,799,864,1030,1134,1307,1436,1357,1588,1573,1616,1685,1764,1800,1958,1897,1818,2135,2308,2437,2750,2988,3218,3438,3578,3798,4057,4655,4990,5742,6286,6628,7056,7585,8183,8395,9997,10001,8896,9166,10458,11578,12002,12247,11999,12203,13216,..
Haiti,..,..,..,..,..,..,..,..,..,..,..,169,169,169,209,292,248,338,338,338,418,443,475,464,472,497,454,500,526,572,558,457,392,371,234,389,418,292,418,461,418,418,335,335,378,385,392,310,288,446,360,306,490,860,680,684,691,701,711,..
Honduras,..,..,..,..,..,..,..,..,..,..,..,490,533,587,644,702,796,958,1040,1242,760,864,950,1015,1048,1188,1224,1339,1458,1570,1807,1944,2023,2268,2192,2822,3125,3542,3989,4226,4788,5144,5389,5544,5702,6041,6505,7427,7664,7726,7819,7805,7762,7985,7902,8154,8471,8900,8893,..
Hong Kong (China),..,..,..,..,..,..,..,..,..,..,..,3809,4295,4759,5015,5504,5940,6941,7358,7553,8413,8730,9223,10681,10814,11516,12805,14018,15714,17075,19037,20585,21715,24095,25830,27065,29196,28940,32796,31403,32238,32803,33397,34369,34135,35813,35431,36425,37102,38974,39348,39874,41191,39946,43420,42372,43124,42130,41968,..
Hungary,..,..,..,..,..,3568,4054,4565,5130,5767,6541,7362,8341,9180,10336,11470,12935,14360,16466,18029,18072,19411,21236,23022,25214,26626,27176,29286,29617,31154,33080,35165,37850,34999,35435,35233,36191,35208,35914,35399,35251,36468,37584,39827,39715,40014,41224,40500,41256,40446,40327,40723,38232,38088,37523,39020,39434,40496,40932,..
Iceland,608,666,709,770,763,846,911,893,846,868,979,1073,1141,1278,1498,1703,1818,1912,2171,2315,2336,2437,2419,1940,1692,1627,1613,1897,2023,2030,2070,1861,1951,2012,2002,2012,2027,2081,2027,2092,2182,2189,2293,2203,2419,2484,2869,2977,3096,3175,3344,3092,3067,3013,3027,2960,3019,2919,3052,..
India,..,..,..,..,..,..,..,..,..,..,..,14821,15552,16762,18623,20956,22813,24556,27274,30247,33286,37580,43531,47646,55822,62129,69566,79636,88600,106484,115175,129121,143086,156150,172721,186822,198965,217249,233906,254966,273802,288994,309445,333745,351083,373082,414364,436698,472788,513450,569203,618512,667861,728456,805126,884822,970042,1026661,1108836,..
Indonesia,..,..,..,..,..,..,..,..,..,..,..,3398,3618,3877,4187,4644,5112,5792,7063,8741,8143,10746,12607,15451,16441,18083,20336,23004,26190,25441,32756,37174,42016,47466,54583,65232,70384,81778,89482,96790,102211,112424,114624,120859,137020,141041,150440,162277,171425,191340,206885,225749,251010,269352,294275,310669,328277,331272,360921,..
Islamic Republic of Iran,..,..,..,..,..,..,..,..,..,..,..,3539,4385,5123,5832,7322,9432,11657,13669,16927,19724,20912,26460,31885,36248,40738,44698,49205,50378,56848,62438,68861,70232,79715,80903,84146,86375,95483,103270,107330,112741,118602,126040,136912,146030,158789,173110,182797,190426,200268,219269,204386,220864,231764,256187,273974,282179,300252,306356,..
