"MODEL","SCENARIO","REGION","VARIABLE","UNIT","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100",
"AIM/Hub V2.2","Baseline","CHN","ChangeRate_Electricity_Rate_Total","EJ/yr/EJ/yr/y",0,0.00549520836604559,0.00549344780318944,0.00565884916693806,0.00538342508119992,0.00523708524301522,0.0037479512568115,0.00441040997745611,0.000597513302481789,-0.00185016034549602,-0.00443777074183578,-0.00172371233933009,0.0017814981442014,0.00298340950383895,0.00296693083095912,0.00256696408698333,0.000283241499213704,-0.000117682290040155,0.000336470736502847,
"AIM/Hub V2.2","Baseline","IND","ChangeRate_Electricity_Rate_Total","EJ/yr/EJ/yr/y",0,0.00427907195919976,0.00427776578398446,0.0039615674031374,0.00385262512332825,0.00451023382175058,0.00452278640607869,0.00484619890794955,0.00549213300183459,0.00482565948044705,0.00345142501053943,0.00387690074756423,0.00441280123679019,0.00457077201247644,0.00454763667962692,0.00422769359676405,0.00400232738861711,0.00352509802248174,0.00273685473654512,
"AIM/Hub V2.2","Baseline","JPN","ChangeRate_Electricity_Rate_Total","EJ/yr/EJ/yr/y",0,-0.00287153969918383,-0.00152908246640554,-0.00102052371039832,6.72337006621615e-05,0.000275523572406156,0.000228638808740123,0.000587206156171211,0.000651141219581303,0.000617029189778401,-0.00249095793833158,-0.00130046641815096,0.000543457424588256,0.00278873927617636,0.00380064035900042,0.00461378978368739,0.00962630904175324,0.00939940038962717,0.00558034652131412,
"AIM/Hub V2.2","Baseline","XSE","ChangeRate_Electricity_Rate_Total","EJ/yr/EJ/yr/y",0,0.001684617512804,0.00155864963872905,0.000961034628286772,0.000255419176469163,-3.41231469750958e-06,0.000923577980791368,0.00132988643698195,0.00157802562602562,0.00171517800823413,-0.00136863448840101,-0.00064988819613857,0.0008005289858183,0.00219994489463754,0.0027803440686216,0.00308085819003279,0.00507035758880036,0.00374201052429596,0.00130233987261684,
"AIM/Hub V2.2","Baseline","XSA","ChangeRate_Electricity_Rate_Total","EJ/yr/EJ/yr/y",0,0.00157337138379998,0.00159653158850102,0.00148993902987376,0.00187416241555929,0.00181112191306471,0.00181257555541378,0.00186960424293007,0.00204433240663694,0.00166116826274223,0.000359847329721374,0.000501308307664194,0.000605457559972028,0.00121920793967691,0.00188758652163378,0.00191532142370233,0.00225567200923693,0.00205778314876628,0.00225454112408954,
"AIM/Hub V2.2","Baseline","CAN","ChangeRate_Electricity_Rate_Total","EJ/yr/EJ/yr/y",0,0.00101502325980052,0.00345685200283559,0.00179300516036626,0.000645136624844933,0.000593338243223535,0.000380602414410619,0.000983724829589089,0.00154982238765339,0.00244880775371932,0.000157349745160051,0.00103671966912686,0.00151152149236563,0.0019486031520059,0.00219215283714235,0.00213485080134649,0.00198326164702904,0.0013647641733339,0.000811640889027065,
"AIM/Hub V2.2","Baseline","BRA","ChangeRate_Electricity_Rate_Total","EJ/yr/EJ/yr/y",0,0.000566468061881348,0.00102504133184184,8.00438783251867e-05,0.00104900094102846,0.000955966102121275,0.000804991097815133,0.000420209262211091,-0.00028538030193368,-0.000708322114837778,-0.00305205496846049,-0.00285022801191405,-0.00166948274646883,0.000163527881858838,0.000791067220392205,0.00124915623941688,0.00430174186961324,0.00489633194902339,0.00323003104087705,
"AIM/Hub V2.2","Baseline","XLM","ChangeRate_Electricity_Rate_Total","EJ/yr/EJ/yr/y",0,0.00329559301276794,0.00141642952129121,0.00129033789616579,0.00119504250354118,0.00201293217181052,0.0023137999002781,0.00278104164885846,0.00346344190009049,0.00455781009794998,0.000669488942889906,0.000916564648425466,0.00102096036478133,0.00111978575218399,0.000895068485995731,0.000617264930039307,0.000625185190549915,0.000353175538401285,0.000339058661284486,
"AIM/Hub V2.2","Baseline","CIS","ChangeRate_Electricity_Rate_Total","EJ/yr/EJ/yr/y",0,0.000770174507097593,0.000854488874375181,0.000809456934824332,0.000816246056335734,0.00096950308278731,0.00116627319814191,0.00149365582753818,0.0019817119120451,0.00202098423385494,0.000512034825497792,0.000690915619840648,0.000737823963979572,0.000706991172653665,0.000733072493879611,0.000723737404825814,0.000555305193526789,0.000485220055669972,0.000532279075034975,
"AIM/Hub V2.2","Baseline","XME","ChangeRate_Electricity_Rate_Total","EJ/yr/EJ/yr/y",0,0.000709127122249542,0.00216654649940391,0.00168874924952876,0.00151428099049986,0.00163659913043228,0.00238613962702353,0.00346667785334169,0.00483153945284012,0.00413072512945831,0.000586225740484458,0.000586611232478179,0.000590002123765565,0.000667070239946577,0.000743542061076552,0.000728288517265208,0.000715707398276666,0.000608669179986032,0.000548989859139482,
